Engine Type of Tugboat,Engine Power of Tugboat(kW),Distance(nautical miles),Towing Speed of Tugboats(meters per second),Tow Type of the vehicle being towed ,Tow Size/weight of the vehicle being towed(tonnes),Wind Speed(meters per second),Current Speed of towed vehicle(meters per second),Wave Height(meters per second),Sea State(Significant Wave Height (SWH)),Water Depth(meters per second),Wind Direction,Maintenance History of the tugboat,Fuel Consumption(Litres),"Pilotage Point(latitude, longitude)","Berthing Point(latitude, longitude)","Waypoints which tugboat has to cover in its route (latitude, longitude)",Traffic (number of vehicles in the route)
Diesel-Electric,1000,25,3.872046041,Barge,1201,1.671784756,0.71977802,0.916013093,4.822861739,14.70882282,SW,Poor,216.901151,"(-47.860172680925054, -130.4793223392311)","(-35.19627777969107, -134.79814257544137)","[(49.5252037653639, 139.893993046533), (3.5158820787963663, -50.56735054683813), (75.23328937528109, 159.06615274785617), (-8.530549187617666, 5.8802040920786)]",32
Diesel-Electric,1000,25,4.989045669,Other,1318,18.10143945,0.390461523,2.406322191,2.155817482,17.89362363,NE,Good,256.5261417,"(44.302065999433694, 2.3194665695668277)","(-57.37419437241255, 168.29402358871943)","[(22.814493058927752, -135.67896437913507), (-31.643382153117393, -146.78251183186825)]",0
Diesel,1000,35,6.21988311,Other,4258,2.223304721,0.467183538,0.970500922,3.259225553,17.92953306,W,Poor,643.4959088,"(5.9133194808845815, 74.00303593816452)","(28.912836435219603, -35.230358435124856)","[(53.42063978461539, 112.97937240634946)]",15
Diesel,2000,8,8.605369382,Barge,2212,18.38331666,1.655664403,2.503509558,3.696963488,16.32084857,E,Good,358.8859101,"(-15.665043317330472, -43.453709014992086)","(8.34677763281394, -118.91075430853917)",[],65
Diesel-Electric,1000,25,6.597200009,Barge,2956,5.028228349,0.551745109,2.65758849,4.592854718,5.131905604,SE,Poor,460.5300002,"(30.646981198973336, 39.27209497865147)","(37.77243478685487, -46.792833505377985)","[(-14.038384084233854, 137.5951635366908), (-23.551802403179295, 109.32227321878827), (71.53861145855569, -73.63131524617803)]",74
Diesel,1000,41,4.476768574,Barge,2371,19.38434061,0.463920625,2.560016075,4.547699472,5.083075445,N,Poor,420.6475115,"(43.03046932161453, 136.20179014515463)","(56.03402511204763, 77.5363851001444)","[(63.175815719248845, 6.141945731697604), (54.212100548777215, -75.84817475370217), (80.23947673903814, 89.72377358456288)]",72
Diesel-Electric,1000,3,8.920353916,Other,6399,2.529666977,0.567780069,2.589567051,1.036658469,7.726438777,N,Good,666.6610617,"(73.41154181219599, 105.39391906012128)","(14.971320649136516, -81.26712642935813)",[],49
Diesel,2000,11,6.603837995,Barge,5756,6.021283288,1.873146707,1.37802355,2.388147101,18.7971451,N,Good,720.8844359,"(-34.43417257263217, 15.156137202293223)","(-71.03271411869153, 151.33278642731568)",[],65
Diesel-Electric,3000,30,5.090801191,Ship,9048,5.923950203,1.15832038,2.415477006,4.153834417,12.48459162,S,Good,1362.972107,"(64.0559937833219, 116.4732922510355)","(58.52091963341928, 74.79261426792692)","[(-67.85385262756269, 7.221605564982781), (1.7484944898570234, -150.0338051360944)]",89
Diesel-Electric,2000,35,7.124101136,Other,1226,3.111105078,1.532354411,0.573098708,4.168444507,17.20005989,S,Average,621.2870795,"(46.69293585478806, 134.23692805067662)","(57.08689281956612, -73.76336600252091)",[],48
Diesel,2000,26,4.376857173,Ship,2533,9.998593098,1.01247785,1.961117561,4.661973625,9.51048874,E,Good,480.896573,"(58.93288914911122, -109.47979270989111)","(23.951975674443688, 96.64566624263739)",[],30
Diesel-Electric,1000,10,9.595434112,Barge,5099,10.52808264,0.743503999,1.118369465,0.203094592,19.19873748,S,Good,605.8543411,"(-62.7158490923696, -49.001063039326795)","(-53.531759366877154, 170.30073150119443)","[(-35.90887924837703, -33.03478076307343), (-25.726049523269154, 144.84838337238784), (-36.017920269450926, 24.832914034709717)]",90
Diesel-Electric,1000,40,8.819296594,Ship,3247,11.10477608,1.654673805,1.399289034,1.811189739,19.09545493,E,Poor,677.4718638,"(-7.1430242199460565, -110.3238170588344)","(59.56767106603016, -88.27282793906626)","[(-76.28922012006528, 124.15555749453705)]",53
Diesel,2000,45,3.724620212,Barge,7224,4.030994887,0.319355749,1.191042494,2.168122543,11.08127205,SE,Good,1057.615819,"(45.08062436679751, -78.44859507298507)","(-63.26924944793063, 99.53927268067287)",[],51
Diesel-Electric,3000,36,8.328346126,Ship,6638,10.03410726,0.474765603,0.874865101,4.563982413,7.180561515,S,Good,1563.261382,"(-69.18910565623871, -82.88604082754115)","(-59.41549080000139, -128.28944577498257)","[(38.206052115677096, -142.16089050295795), (4.50136854363177, -141.3926380188439), (-32.87279185655081, -70.86530486716858), (-48.1249700413338, 68.72804787338714)]",82
Diesel,1000,48,8.311068058,Other,7958,17.53078897,1.085849558,0.860507832,3.910371061,14.67415679,NE,Average,1194.731267,"(-86.5355353520211, -45.502883261338724)","(86.4786425814095, -165.59648984785244)","[(68.07889633966175, 4.904353494299272), (42.689023273720125, 172.8698856558779), (-62.84946362749308, 66.80209785035868), (-75.72507542088309, 68.78518470108003)]",80
Diesel,1000,45,3.657910497,Barge,8892,10.85115706,0.167703539,0.183900716,1.929719927,17.70345567,N,Good,1053.805972,"(-84.65049802463999, -74.63072801176179)","(-30.218375299526677, -123.8196670852756)","[(-51.572390627247316, 4.5246683765002444), (14.860778542845622, -139.84694508457366), (24.658310674811503, -66.30357054027985), (5.365255038197702, -92.74570822575548)]",21
Diesel,1000,10,5.210682077,Ship,8501,18.85504973,1.92807084,0.969784723,1.269166967,13.821327,E,Poor,902.2068208,"(88.28048926973449, 39.064016946802155)","(-36.432241059310215, -23.5987561454981)",[],71
Diesel,1000,10,5.268493809,Ship,3592,11.41478536,0.813382883,0.429303538,3.28178257,6.361635974,NW,Average,411.8849381,"(5.386624835265721, -36.45821366163378)","(25.974072107760605, -51.59753738496585)","[(85.39820031460468, -173.4754760233448), (-42.41938924250045, -117.93696376246619)]",76
Diesel-Electric,3000,38,5.399174671,Ship,4669,18.41838877,1.636067228,2.530971662,1.610187597,6.653408786,NE,Good,1082.405913,"(28.72147363223793, 67.47355695898273)","(78.67987036338104, -55.40285670622876)","[(-2.7532803475181282, 33.171646019346554)]",2
Diesel,3000,48,3.494633354,Ship,7320,2.447029759,0.792128985,0.534322285,3.070305698,12.68889511,E,Average,1235.227203,"(-45.912026209082164, 164.8401935389387)","(12.285748399664286, -130.98076877614028)","[(-82.74359397529098, 178.54584110549098), (-72.02706450251009, 19.203490785279087), (-46.316934514645375, 106.04109690897303)]",26
Diesel-Electric,2000,14,9.259311933,Barge,4985,1.023347906,1.657893374,1.12554457,3.663126923,18.31749555,N,Good,757.7607341,"(-37.62500036601822, 53.42521874207972)","(-45.37830966017824, -158.19532603200332)",[],40
Diesel-Electric,3000,5,5.044218945,Barge,7524,11.27266484,0.784752174,2.835669268,1.382574702,9.864681831,N,Good,828.0632842,"(47.069960786215404, -172.06245703922758)","(-65.5784474883238, 100.65517734348913)",[],46
Diesel-Electric,1000,42,2.022600878,Barge,8414,5.913134311,0.139236265,2.640613579,2.154176602,8.883388595,E,Poor,926.3492369,"(-42.16346231898665, -64.13287987588403)","(73.49011999372607, 99.83719046576323)","[(48.37960808816953, -65.05387902136293), (-8.02737545267992, 165.60679274810838), (-72.13632059507805, 116.52732962672292), (-21.41045644323451, 149.00640674618495)]",54
Diesel,1000,38,5.533030723,Barge,5016,3.920723272,0.96352811,1.964442303,0.918718013,19.94838725,S,Average,711.8551675,"(-78.03550509547713, -31.31690362782456)","(88.5275605533227, 19.345941048568676)","[(8.844443598705439, -155.75512015263178), (-28.134063531276936, -95.78412823986005)]",2
Diesel-Electric,3000,9,7.860515223,Barge,3240,6.937720351,1.981385266,2.000938991,4.00528811,12.83448471,W,Poor,536.233911,"(-18.60187844634237, -142.83262358488972)","(21.755187092647915, 128.72021005702095)",[],87
Diesel-Electric,3000,31,7.679118911,Ship,6316,11.7506138,0.333292723,0.755822718,3.314360083,13.54652931,NW,Average,1345.758059,"(-38.4101660989279, -43.24632939073507)","(-6.700669212514512, 135.19280232461819)",[],12
Diesel-Electric,1000,25,7.523685799,Ship,2465,5.979102687,0.380418066,1.191835207,3.347353408,7.357485122,S,Good,434.592145,"(1.7865255736110441, 170.88547639734264)","(-16.830039154705503, 79.24245912577351)","[(81.98890938514467, -135.3852527017794), (-83.13335673983433, 31.863932918522607)]",21
Diesel,1000,25,6.615057984,Other,4781,0.253539148,1.566788949,1.561822564,4.930005845,7.352566018,S,Poor,643.4764496,"(-13.963925821526146, 4.811910707748126)","(2.7607967363777277, 44.862947336734806)",[],94
Diesel,1000,22,4.233613069,Ship,9449,13.05331255,1.443499633,1.090650689,1.603616599,11.95342408,W,Poor,1038.039488,"(45.903555410620555, -173.43404278196732)","(83.09939494060632, 157.00022344233872)","[(-31.93687212924155, 30.14986349475049), (19.42740428065295, 7.614387582572704)]",89
Diesel,3000,40,9.050573296,Ship,7233,6.286360431,1.866035904,1.508092663,1.414118273,12.77179603,N,Good,1809.368796,"(28.82100684379772, 153.5050906637399)","(-62.55834602953273, -7.34231157455369)","[(-85.71213879487814, 145.6698964368636), (-44.6541977345039, -92.59325605683014)]",89
Diesel,1000,11,7.223631714,Other,3981,12.99739535,0.193635482,2.095902517,0.536286983,19.92268541,E,Average,477.5599489,"(63.97849719936971, -135.74186597388402)","(-12.331959112457866, -36.26805242296081)","[(-65.23758095538356, -5.363089621412456), (-80.24275924749546, 37.36758785422782), (-20.976759601379086, 57.966028267647744)]",93
Diesel,1000,48,5.990663408,Barge,5373,10.36636023,0.560993788,0.243697675,3.198450096,14.66712713,E,Good,824.8518436,"(56.024916512550845, 6.9964240228809444)","(48.498363511635375, -29.759925041329097)","[(-10.725733326111566, -72.66192564827571)]",43
Diesel,3000,1,4.739638226,Ship,7590,14.0751741,0.166869052,2.197628963,0.084721405,13.31960562,NW,Average,773.2189147,"(-68.20660071301414, -177.92175620958392)","(-47.92679933180375, -139.8047968284996)","[(3.832043616173152, -25.20576680831047)]",36
Diesel-Electric,3000,48,8.134244051,Ship,1762,4.5631683,0.129711167,1.431545086,1.458587504,12.30633018,N,Good,1347.531143,"(-4.402491001291068, -19.080268918978618)","(-78.88214411405392, 71.3196841796792)","[(-33.164615883003854, -16.303562327105396), (-34.25657059980716, 63.31743392610571), (-51.352903390215424, -97.17278744923112), (31.085833032676845, 68.59315864887174)]",94
Diesel-Electric,3000,17,9.014314264,Ship,9960,12.04726945,1.619053871,1.504247535,4.623935127,9.961604531,NE,Average,1455.730027,"(79.72362613505564, 156.02949150820433)","(-12.786477052969602, 17.764484199798176)","[(-49.39759314702786, -145.52057584097736), (-31.84675991574119, -155.41871837566035)]",98
Diesel,3000,24,9.458829471,Other,7290,12.00630468,1.76169502,2.951694695,2.55119431,10.07476458,SE,Poor,1410.035722,"(-74.67627651883674, -93.02972086659652)","(43.74608171593982, -176.4115320983411)","[(-86.13495358123983, -156.59332812596654), (78.62382008875187, -83.52994905215064), (84.65532643039384, 100.77705890299268)]",13
Diesel-Electric,2000,33,5.276137401,Other,3417,12.87320679,0.809554007,1.43425041,3.603263616,14.04291979,N,Good,689.9250684,"(-12.832912900657405, -72.30914539721776)","(-52.64856789463079, -125.76666685409069)",[],83
Diesel,1000,44,5.148718952,Ship,3296,12.13240298,0.693143512,0.682212648,2.627115012,9.906183973,SW,Poor,556.1436339,"(81.00511159846664, 12.929966201149455)","(44.78948700152992, 24.33797056246007)","[(-45.98199503254192, 120.0377377772025), (-39.85086747430772, -160.30196273437159)]",41
Diesel-Electric,1000,44,6.954861847,Ship,2288,17.79525582,1.657833017,2.767476351,3.211444517,8.37024148,W,Good,534.8139213,"(-2.793723870988728, 7.994457045575729)","(-29.63741669498699, 170.98583687815704)","[(11.871717013571129, 108.2468134185973), (-24.82516139421493, 162.64979629554728), (-77.45006341221796, 96.39215940455199)]",6
Diesel,3000,45,4.65995463,Barge,3325,10.77105669,1.728048935,1.389932642,2.896061206,18.68733801,SE,Poor,961.593875,"(-31.152789144547476, -12.950582919160496)","(39.8873179099258, 155.0874056836402)","[(-71.43212870808115, 134.162052432081), (-55.19310532820471, -141.26993687654812), (-48.72816750090037, -110.35900950506746)]",96
Diesel-Electric,3000,20,2.177286574,Ship,2559,1.013892046,1.717568299,2.891703461,4.532772382,16.43504372,NE,Poor,386.5371944,"(74.72794505811487, 105.798334675028)","(-58.555927319555394, -155.36919003064972)","[(58.73296211679249, -145.63247453331184)]",70
Diesel,1000,45,5.306554876,Ship,7766,9.168637132,1.902804647,2.079714811,4.447669129,14.41093028,NE,Average,1015.394969,"(-65.50213567186765, 165.4235108683049)","(42.77306464068715, -38.66734689222929)",[],28
Diesel-Electric,3000,29,3.681613208,Other,5902,12.05867161,0.941255609,0.578344327,3.375361572,18.18192484,E,Good,910.5003491,"(20.153654706296223, 37.65459913632708)","(51.712624876002735, -90.51182506214671)","[(-57.23826676680764, 97.94620914761055), (-7.095596021830374, 50.161380659532654), (-39.46096113206687, -90.6986297874743)]",57
Diesel-Electric,2000,43,3.155926803,Barge,9342,10.05088204,0.905225702,2.869139979,2.111080067,15.2582175,S,Poor,1205.609705,"(-19.3293727961226, -78.50467855089725)","(-7.909748839621926, -110.90805790718576)",[],40
Diesel,2000,13,4.708856679,Barge,8663,0.683760604,0.143588295,2.718617907,4.059573205,8.304129422,SW,Average,988.7302736,"(-89.04939099112055, 165.6091765420129)","(36.27679766754568, -166.63831604759548)","[(-41.17324490625512, 142.67734260518637)]",12
Diesel,3000,43,3.093886411,Other,4197,13.0506873,1.604371441,2.015126532,4.022664188,19.67992291,NE,Average,818.811347,"(-63.8699498333368, 77.87784417837167)","(89.84137041042015, -72.91003258193614)","[(21.974470732680246, 157.63932555454375), (7.843508029818949, -83.5791685521758)]",80
Diesel-Electric,3000,18,5.155798517,Barge,7295,9.48919025,0.49471922,2.934399015,3.772974431,13.10845093,SE,Poor,1007.91312,"(0.8912915511227624, -44.623488120633596)","(-21.637249956129793, -102.44536197934313)","[(-24.598715014421302, 166.01828251342084), (-49.27828317406596, -45.715184737450414)]",71
Diesel,3000,32,7.799204342,Other,7282,4.201181002,0.466441025,1.579784747,1.370020135,18.54949176,W,Average,1476.923617,"(47.91502843683145, -119.48999924932723)","(50.00508324662664, 19.126154971235593)","[(-70.91245455056128, -5.5733207944335845)]",51
Diesel,2000,47,2.729202956,Ship,7600,8.070267164,1.34320719,1.007119415,0.415788576,13.95210262,S,Good,1016.545078,"(-66.80910743838047, 120.20936013493599)","(-6.729511295732593, -159.00737416843958)","[(89.37168188260011, -177.53276886714818), (-4.0398859426057925, 83.67811119413477), (-50.73150056349071, 5.321711665192936)]",34
Diesel-Electric,3000,10,6.986806611,Other,9006,11.25572035,1.417252043,1.56649669,0.888655109,18.10393399,NW,Good,1110.204198,"(82.52740117661386, 62.605690925845295)","(-33.982556026489554, -25.706282057660246)",[],5
Diesel,3000,27,3.418488173,Ship,5310,15.34889711,1.770115701,1.531958057,1.421462067,8.019669947,NE,Good,807.897542,"(-7.3384835094437335, 170.80569918271163)","(30.404248430609087, -128.4999046024385)","[(-25.48504366874745, 69.05827347919183), (27.794716671845563, -18.62196868032609), (-11.247357737842648, -131.20270732253715), (15.56947441379539, 20.419028911325057)]",89
Diesel-Electric,2000,45,9.979587574,Barge,3204,17.56457693,0.271866635,2.661931905,1.443833477,5.03897634,SE,Good,1218.562882,"(27.71173911000446, 87.28672749549082)","(-61.81827045911413, 19.367903173846543)",[],39
Diesel-Electric,1000,36,3.953833419,Ship,3312,9.647204215,0.929489194,0.355620746,0.619964202,17.7576787,SW,Good,473.5380031,"(44.57020343955136, 90.27836067308766)","(13.80569977967734, 119.61172788697075)","[(46.575803544409155, 65.85430173771229), (74.74723153317589, -59.31798385423211), (-27.933466952434017, -84.96774690800896), (-13.840768375523325, -166.35454217277365)]",71
Diesel-Electric,3000,32,4.721757463,Ship,7958,14.02929349,1.952110274,0.004539649,4.978873067,7.60865602,SW,Good,1249.088716,"(-44.42850672454419, -121.15646336716011)","(73.70652976267411, 10.74729274377313)","[(-18.252480709287298, 26.083089188879143), (-67.27153073757981, -103.11015173654265)]",88
Diesel-Electric,2000,15,7.341204052,Barge,7143,19.14394857,0.172305143,1.534165824,2.974937351,8.992978786,W,Good,934.5361216,"(76.65983644635574, 48.41459374275715)","(51.24919499150565, 5.28537752142833)","[(69.66123651198092, 2.3249840922859732), (-4.5757562538025525, 77.48604068449811)]",6
Diesel,1000,10,5.245578216,Other,5785,4.814436936,0.912250098,1.00227527,2.312303362,18.98745116,NE,Good,630.9557822,"(-45.676281830767415, 30.134039673790312)","(-17.978743962478234, -150.6151618608622)","[(-21.485475690857243, 36.35576252862785), (71.3695885525851, -178.74405584577877), (0.5165733987521577, -149.2885498745551), (-33.721568535596575, -172.09997145872757)]",14
Diesel,3000,42,7.479658354,Other,9657,4.013221237,0.594292439,1.522217375,2.548813271,16.32991102,NW,Poor,1908.136953,"(-73.098502762873, -112.90366319637937)","(-2.0544883440717427, -149.64492810172325)","[(0.9165454848753143, 46.65697347651181), (-38.82398269678715, -1.1399858191322778), (71.53618451947597, -91.40242565688034), (-37.12051215284661, -62.5045384435368)]",63
Diesel-Electric,2000,20,5.359622774,Barge,5599,14.66737854,0.492980962,2.319434712,0.859101486,15.51179524,NE,Poor,774.2849109,"(-66.95749233021334, -92.45905609192475)","(11.94419272488858, -5.0454280702352605)",[],6
Diesel-Electric,3000,11,5.013863536,Barge,5386,15.68317944,0.804810424,0.811562469,0.168945053,9.63654315,E,Average,704.0574967,"(-68.87516535853192, 140.1056580715482)","(80.43396387048185, -160.71055506980855)","[(-70.09194998183654, -33.80682470950265), (-72.5648089972542, -138.44905668997274)]",38
Diesel-Electric,2000,10,2.387988687,Ship,6059,14.21515108,1.095276875,1.773180548,4.940908861,14.24473259,E,Average,653.6597737,"(75.51023588270019, -62.72158673105881)","(-67.45730922146807, -74.62797928648112)","[(16.51433137435106, 42.752254474886996), (11.289462991879205, -91.25603214226572), (32.892815848917735, 168.22022545188514), (-67.84064743359565, 9.897447482959905)]",26
Diesel,3000,18,9.597374004,Ship,6305,11.02286058,1.521744533,1.727304858,1.58529552,7.627958387,N,Good,1148.758196,"(-58.94124291414512, -77.96187992883559)","(-65.08518496884379, 117.9542906905371)","[(73.6608314257443, -100.62136833097924), (50.348212760694736, -111.94502349785498), (-52.3472454240103, -124.54653895038126), (67.88831712036466, -45.47006894200899)]",67
Diesel,1000,36,7.876441793,Barge,6779,8.485570427,1.931887366,1.87157292,4.046163806,14.83342508,SE,Good,961.4519046,"(-15.691716510905223, 79.4136724967824)","(-70.60347005472309, 14.287744557857394)","[(36.81570696131183, -154.00785173743313), (21.662220386471063, 157.28957866563547)]",20
Diesel,2000,17,5.044034143,Other,5529,4.355176828,1.848528596,0.3470805,1.622241454,15.64720915,NW,Average,724.3971608,"(71.67702166925224, 153.44947884894077)","(65.76431848702941, -155.16468328655455)","[(-54.39078725123259, -90.74356761133645)]",81
Diesel,1000,19,3.26222723,Ship,6363,15.69702247,1.257204384,1.396703014,2.397420901,11.00740978,W,Good,698.2823174,"(86.27086980567094, 120.62811560097958)","(-27.495552222508152, 72.47194409891449)","[(1.0689875923686003, -11.758654478420794), (65.97827649506428, -110.8167862998103)]",71
Diesel-Electric,3000,34,6.608596352,Ship,9041,17.77381934,0.322207314,2.020995731,2.300768726,12.21078638,S,Good,1578.176828,"(86.50905533381564, -67.44771039171835)","(64.85671339566986, -122.90967357170223)","[(-42.29740133441124, 112.8553926125237), (-9.887605821298905, -20.478222464936266)]",21
Diesel,3000,18,8.711703536,Barge,2448,18.02988006,0.150313792,2.062810314,4.957112754,19.48650993,SE,Poor,715.2319909,"(-0.7256448692159978, -19.29000785660483)","(-39.557000868627526, -163.75096091482595)","[(-44.92442985286812, 96.39032238703447), (49.080697238087026, 9.324142100299383), (38.23165087238132, -29.257782198797514)]",32
Diesel,2000,20,5.57122896,Other,6867,8.955583604,0.27993562,2.029776542,3.246039639,5.238119061,E,Good,909.5491584,"(47.694466847151574, -97.33000149330678)","(60.86456772188072, 2.237016844323364)","[(-28.49543612564934, 121.94921641727666)]",13
Diesel-Electric,3000,20,2.370650837,Barge,2328,1.91344415,1.552504811,0.674427472,2.748894808,12.60405056,S,Good,375.0390502,"(-24.17001141698057, 31.79469682476571)","(0.45679843043681956, -3.312531316631805)","[(25.579122404607702, -107.63228198687133)]",59
Diesel-Electric,2000,17,2.266196577,Ship,7771,13.42448065,1.930663111,2.764664263,0.263998647,6.881859645,N,Good,854.1506836,"(25.167939336828212, 5.651366212683513)","(53.23952775152986, -158.253077740175)","[(79.20292118526581, -86.19784878835583), (-35.42563271556456, 15.162243751279135), (-69.12526003887612, -121.61355319436763), (52.92814362216765, 10.753244795194604)]",68
Diesel,1000,34,5.400657889,Ship,2028,12.88724651,1.599166736,1.28821993,2.500504506,16.41302139,NW,Good,386.4223682,"(-69.2859957446565, 5.707313726975741)","(39.46387262928263, -163.74074723099386)","[(-37.44470633312724, 33.63438447958666), (-15.044807423920545, 86.73112427251255), (-10.138410948617917, -31.629301150020808), (11.053469842521622, 87.00008595242383)]",39
Diesel,3000,39,9.568904381,Other,4737,8.640678689,1.721637297,0.831248156,2.550157368,12.99518225,S,Poor,1593.261813,"(2.0876754312874084, -179.23396230505716)","(61.07933029838841, 176.60093316710203)","[(39.00681653641129, -140.82190569987313), (25.765679388224967, 104.09117668244733), (-75.85637831290934, -36.723249715641174), (-69.55599626817086, -91.24069197950955)]",37
Diesel,1000,6,5.881401758,Ship,2381,12.07601929,1.132982963,1.091124784,0.435112155,17.08017215,S,Average,273.3884105,"(83.41866582070043, 163.625795389058)","(-22.907950256560966, -81.21605782514828)","[(-84.58655715898615, 117.94717881663723), (-82.31692069518435, -118.96259079957855), (59.05308413203525, 74.50260745331559), (-30.365715343274744, -136.539093297742)]",46
Diesel-Electric,2000,41,5.1506148,Ship,7692,10.91611924,1.884610698,2.456827807,0.631753384,13.39796601,E,Poor,1191.550414,"(56.29402728697593, -16.681747857333818)","(3.055206650143873, -82.30214707711313)","[(41.661521848950144, 141.67644630622686), (-2.757515034668728, 11.025573468521742), (-5.770160539376718, -159.87379562745866), (39.80220010162222, -77.62038516261892)]",46
Diesel,3000,8,8.393196654,Other,9285,8.177367005,0.110820838,1.443753925,1.85718158,19.35733796,SE,Average,1129.93672,"(-76.70103297016534, -93.42790182994862)","(-14.705205937053961, -159.39056944798543)","[(17.137963202634623, -111.12530575845066), (-55.097983795821925, -7.3601540586568035), (47.042500001150444, 46.443715172010485)]",30
Diesel,2000,18,6.091353251,Barge,7651,12.24400393,0.557584942,1.191493409,1.508055301,12.8348127,N,Poor,984.388717,"(71.4854979457206, 41.164123042730665)","(13.515896625527475, -32.159267128995964)","[(-48.98556861747719, 49.83230616623541), (68.41494410026485, 32.27607265582003), (-30.956641658114265, 15.858121599146557), (85.77317061380188, 109.6115776280954)]",80
Diesel,1000,2,3.047623253,Other,2672,14.02619742,0.15303506,0.776515823,4.801432049,10.33652202,SE,Poor,273.2952465,"(89.0200914580546, -14.705704241673601)","(43.27583473859099, -90.3590321326116)",[],97
Diesel-Electric,3000,48,5.15494874,Other,6224,8.795848241,1.508028799,1.354622906,4.803266882,12.14282833,E,Good,1364.712619,"(37.63035968127059, -37.66392634924222)","(-76.92234925970914, 155.6572996755599)","[(67.5091700206307, 103.01229626755662), (23.701682808844154, -54.17105326166441), (36.66192500787912, -164.02025531353507)]",59
Diesel,3000,29,4.592677586,Barge,5088,16.91129044,1.867130207,2.019654862,0.154393413,10.24197805,SE,Poor,908.36295,"(63.858086235668225, -117.97652970952299)","(-25.236272955631534, -67.70287816324225)","[(-56.5485219949699, 36.76968099859039)]",14
Diesel-Electric,2000,16,5.331618881,Other,4792,4.309224013,0.751954227,0.753032816,3.001496424,19.07256324,SW,Good,649.8118042,"(12.681650825454625, -156.6392270320703)","(-52.45380021774359, 33.31696773953399)","[(-28.916543235242756, 130.9954365236245), (1.9421864618101807, -123.76451727107116), (-13.16816287190737, 0.9463872959956348), (-77.44919251185422, -130.32262766753507)]",26
Diesel-Electric,3000,43,3.518838275,Ship,7996,10.31000923,0.825975284,2.8663025,2.041538856,10.75643777,E,Poor,1253.530138,"(77.2424321061572, -85.88215222427475)","(8.320871108369062, 64.93341124836081)","[(-71.40777326123938, -152.21051263666476), (-32.25759803715285, 83.61366356367404)]",64
Diesel,1000,2,4.937857043,Other,6250,15.24987586,0.122145203,2.946092015,2.07158688,10.8497912,NE,Good,634.8757141,"(-2.618692323126254, -55.044615910168446)","(60.36727645063925, -16.115624021046983)","[(-21.03961767341346, 149.38983657450348)]",49
Diesel-Electric,1000,19,6.385743304,Ship,9860,10.24682782,1.84364111,0.415621442,2.44460868,11.47729795,SW,Poor,1107.329123,"(49.94975437578435, -84.02866946049764)","(-19.94299692672412, 66.72991626808715)","[(-80.49024213195108, -125.90372635648663), (-35.30242548477837, -141.61984851678247)]",14
Diesel,1000,40,4.375442439,Other,3613,4.847728139,1.963625829,1.830216204,1.639746417,12.8387254,S,Good,536.3176976,"(-73.47790569318286, -25.77416053117946)","(61.62585840969223, -8.15828772352154)",[],69
Diesel-Electric,2000,48,5.248569811,Ship,9805,5.725693842,0.838123355,1.803389848,4.006889972,7.956504246,NW,Poor,1484.362702,"(20.601336228996118, -25.306331849949203)","(80.55268339957851, -19.45640494212887)","[(-62.10534538455285, -74.29769848654904), (-42.36746144094767, -13.510620553618992), (-28.355777726372388, 147.46879394499308), (-78.92176865823915, -15.052658495915011)]",25
Diesel,2000,26,4.316916596,Other,1452,13.48572248,1.553303983,2.052063433,3.961542897,10.77093338,W,Poor,369.679663,"(71.18791943928912, -89.03934035864457)","(-78.16824406797411, -164.17040245886452)","[(28.317623867831117, -166.01676489330805), (-31.913141135859135, 30.16752080919028)]",4
Diesel-Electric,1000,38,9.797732916,Other,1711,19.07608907,1.50283979,2.790741033,1.314830246,10.79362831,SW,Good,543.4138508,"(60.963400433236984, -55.542276861387336)","(63.923548141117095, 169.75654570989872)","[(-63.28106318549284, -134.2567248562587)]",24
Diesel,2000,29,3.35353827,Barge,8365,1.866402016,1.110571352,0.625739134,0.992140111,11.65410093,NW,Good,1031.00522,"(-79.56380600273201, 26.253907057369418)","(-39.45449081120481, -1.9544160362442256)","[(-28.420283430242172, 12.995593015718441), (-89.39049886369638, 141.30282277188616)]",1
Diesel,1000,17,8.627860039,Ship,1155,10.60885891,1.494617086,2.81494836,2.393959425,5.591259773,E,Good,262.1736207,"(42.26586386575363, -94.23636766657499)","(59.20852667658025, -161.82896799189234)","[(-25.246243058674636, 7.131506372050552), (-53.26019044355814, -169.11295679151323)]",85
Diesel,3000,15,4.935297289,Ship,2668,7.103142784,0.148200781,0.131826802,3.092793799,18.47129793,NE,Good,488.888378,"(-61.43204595118041, 13.764083395786798)","(-3.621220180249736, 152.72857368472762)","[(-22.405281215957373, -166.79918900833226), (-10.439008668438007, -123.50980246050027), (89.00582749101252, -141.13164856982985)]",9
Diesel-Electric,3000,41,4.748363421,Ship,8590,9.964818146,1.582635953,0.57850026,1.496723729,16.57874849,NE,Average,1443.048701,"(20.943887246574548, 106.25660918079205)","(39.3776905428432, 106.76670491224456)","[(4.993283251742881, 179.1046592244694), (31.97319547080025, -9.797051152287196), (84.8482571695121, 71.5557865488847)]",61
Diesel,2000,39,8.042010964,Barge,3465,18.30664756,0.324931168,0.091466027,3.896844642,12.90386808,SE,Good,973.7768552,"(-32.447684909373514, 96.92962980324484)","(-60.26542196684721, -75.53517110392835)","[(-52.63093473317063, -142.3338219858734), (-16.343269631345578, 49.214957577251596)]",54
